City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
79,Rock Sound,24.9,-76.2,80.96,71,7,8.23,BS,clear sky
80,Hirado,33.3597,129.5531,74.39,72,100,14.92,JP,overcast clouds
81,Ocean City,39.2776,-74.5746,60.03,89,100,5.99,US,overcast clouds
82,Khatanga,71.9667,102.5,11.34,97,100,4.74,RU,overcast clouds
83,Alofi,-19.0595,-169.9187,82.29,65,40,11.5,NU,scattered clouds
84,Atar,20.5169,-13.0499,88.65,17,12,12.86,MR,few clouds
85,Kapaa,22.0752,-159.319,79.12,72,100,10.36,US,overcast clouds
86,Kikwit,-5.041,18.8162,70.05,97,100,2.08,CD,moderate rain
87,Tasiilaq,65.6145,-37.6368,32.16,49,82,6.4,GL,broken clouds
88,Tahoua,14.8888,5.2692,83.79,54,56,9.8,NE,broken clouds
89,Labuhan,-6.8844,112.2051,84.92,65,81,6.11,ID,broken clouds
90,Alto Araguaia,-17.3147,-53.2153,72.39,76,72,4.85,BR,broken clouds
91,Briancon,44.9,6.65,50.36,89,0,3.33,FR,clear sky
92,Qaanaaq,77.484,-69.3632,4.66,70,34,7.47,GL,scattered clouds
93,Omboue,-1.5746,9.2618,75.02,90,92,6.53,GA,light rain
94,Ilulissat,69.2167,-51.1,26.62,68,75,3.44,GL,broken clouds
95,Goderich,43.7501,-81.7165,58.91,77,100,3.44,CA,overcast clouds
96,Sakakah,29.9697,40.2064,76.57,19,0,5.28,SA,clear sky
97,Arraial Do Cabo,-22.9661,-42.0278,68.99,85,100,11.54,BR,overcast clouds
98,Xihua,33.7833,114.5167,49.28,90,100,4.68,CN,overcast clouds
99,Nanortalik,60.1432,-45.2371,38.23,90,39,14.18,GL,scattered clouds
100,Prado,-17.3411,-39.2208,74.35,88,83,8.03,BR,broken clouds
101,Andreiasu De Jos,45.75,26.8333,49.3,49,100,3.96,RO,overcast clouds
102,Bredy,52.4153,60.3411,46.49,30,100,9.95,RU,overcast clouds
103,Paita,-5.0892,-81.1144,62.28,84,2,11.36,PE,clear sky
104,Karratha,-20.7377,116.8463,86.99,24,0,7.49,AU,clear sky
105,Busselton,-33.65,115.3333,55.92,73,90,14.05,AU,overcast clouds
106,San Carlos Del Zulia,9.0,-71.9135,75.65,93,100,1.9,VE,overcast clouds
107,Dikson,73.5069,80.5464,32.2,92,100,13.98,RU,overcast clouds
108,Sibolga,1.7427,98.7792,76.82,82,100,2.19,ID,overcast clouds
109,Nikolskoye,59.7035,30.7861,51.69,98,99,8.34,RU,overcast clouds
110,Provideniya,64.3833,-173.3,41.36,100,100,42.99,RU,fog
111,Dese,11.1333,39.6333,53.01,74,80,1.3,ET,broken clouds
112,Faanui,-16.4833,-151.75,78.1,75,5,24.74,PF,clear sky
113,Mujiayingzi,42.1167,118.7833,49.26,17,98,3.2,CN,overcast clouds
114,Pokhara,28.2333,83.9833,66.58,96,100,2.06,NP,overcast clouds
115,Hailar,49.2,119.7,39.94,32,15,9.98,CN,few clouds
116,Sinnamary,5.3833,-52.95,78.31,88,3,10.04,GF,clear sky
117,Quatre Cocos,-20.2078,57.7625,73.09,79,33,15.52,MU,scattered clouds
118,Kamenskiy,50.8855,45.488,44.92,89,21,11.05,RU,few clouds
119,George Town,5.4112,100.3354,84.88,77,20,3.44,MY,light rain
120,Luz,-19.8014,-45.6856,74.16,61,13,0.85,BR,few clouds
121,Payakumbuh,-0.2202,100.6308,78.13,83,87,0.47,ID,overcast clouds
122,Cabo San Lucas,22.8909,-109.9124,82.62,61,66,1.99,MX,broken clouds
123,Russkaya Polyana,49.417,31.9201,49.69,79,100,7.9,UA,overcast clouds
124,Hithadhoo,-0.6,73.0833,82.56,75,98,19.48,MV,overcast clouds
125,Kaliyaganj,25.6333,88.3167,81.77,82,83,4.9,IN,broken clouds
126,Victoria,22.2855,114.1577,89.65,66,46,11.01,HK,scattered clouds
127,Kidal,18.4411,1.4078,87.4,17,0,11.65,ML,clear sky
128,Castro,-24.7911,-50.0119,59.07,97,100,6.87,BR,overcast clouds
129,Pundaguitan,6.3711,126.1689,82.85,75,65,7.31,PH,broken clouds
130,Souillac,-20.5167,57.5167,71.98,78,75,12.66,MU,broken clouds
131,Flinders,-34.5833,150.8552,61.38,92,100,7.0,AU,overcast clouds
132,Hervey Bay,-25.2986,152.8535,74.01,68,59,8.01,AU,broken clouds
133,Mackay,-21.15,149.2,73.69,73,60,15.26,AU,broken clouds
134,Banda Aceh,5.5577,95.3222,80.17,78,99,9.28,ID,overcast clouds
135,Narsaq,60.9167,-46.05,35.82,91,31,5.91,GL,scattered clouds
136,Presidente Medici,-11.1753,-61.9014,80.96,56,32,2.77,BR,scattered clouds
137,Florianopolis,-27.6146,-48.5012,61.83,97,75,3.44,BR,broken clouds
